,,,,
PD,02-322871-00-V-635,53 x 34 x 24 ,7.6,CARTON
A,925-A16288-001-V-635,72 x 64 x 44 ,10,
DB,925-A49980-001-V-635,68 x 44 x 36 ,12,
SSR,853-220443-002-V-635,48 x 46 x 24 ,7,
,853-181173-006-V-635,74 x 45 x 30 ,11,
,925-273704-105-V-635,58 x 49 x 30 ,12,
,,,,
HS,853-347176-002-V-635,112 x 90 x 70 ,100,PALLET
HS,853-173373-004-V-635,88 x 88 x 66 ,80,
MPB,853-225938-015-V-635,92 x 74 x 58,50,
,853-800083-020-V-635,84 x 70 x 45 ,50,
,853-225938-114-V635,92 x 74 x 58,50,
,853-241045-203-V-635,86 x 76 x 61 ,60,
,853-336804-302-V-635,92 x 74 x 58 ,50,
,853-800083-346-V-635,92 x 74 x 42 ,50,
,853-800083-364-V-635,84 x 70 x 46 ,50,
,853-800083-368-V-635,84 x 70 x 46 ,50,
,853-800083-649-V-635,84 x 70 x 46 ,50,
,,,,
PDA,853-301175-002-V-635,137 x 77 x 50 ,100,CRATE
,853-186157-007-V-635,155 x 92 x 74 ,212,
,853-237448-008-V-635,155 x 92 x 74 ,212,
LPB,853-177575-015-DEV-635,145 x 112 x 54,189,
VARF,853-224539-015-V-635,136 x 136 x 143 ,167,
,853-289353-021-V-635,147 x 140 x 153 ,295,
,853-A35434-023-V-635,238 x 55 x 66 ,167,
,853-224170-307-V-635,136 x 136 x 143,167,
,925-800083-480-V-635,122 x 92 x 61 ,90,
,859-245799-514-MY-635,114 x 121 x 244,290,
,859-245799-515-V-635,114 x 121 x 244,290,
,853-041348-779-P-635,105 x 86 x 69,97,
,853-041348-801-V-635,119 x 86 x 69 ,106,
,925-041348-820-V-635,119 x 86 x 69 ,106,
,925-041348-821-V-635,119 x 86 x 69 ,106,
,,,,
,,,,
,ELEC,133 x 109 x 265,950,
,SPCC,176 x 134 x 219,400,
,PECC,151 x 134 x 238,480,
,BOC TOP,142 x 100 x 143,150,
,BOC LOWER,134 x 185 x 274,800,
,ELS 7310,279 x 124 x 244,1486,
,ELS 7610,279 x 124 x 244,1486,
